"country","region","location","mine","longitude","latitude"
"Russia","Republic of Khakassia","Kola Peninsula","Abagas",89.5887663,53.2810052
"Sweden","Norrbotten","Sakajarvi","Aitik",20.9619407,67.0732977
"USA","Alaska","Juneau","Alaska-Juneau",-134.341188,58.2630977
"Canada","Quebec","Dasserat Lake","Aldermac",-79.4792361,48.2526417
"Canada","British Columbia","Alice Arm","Amax/Kitsault",-129.4872477,55.474535
"Sweden","Orebro","Ammeberg","Ammeberg",15.0944683,58.7798898
"Canada","Ontario","Red Lake","Balmer Lake",-93.7481027,51.0657934
"Russia","South Urals","Sibai City","Bashkirian",58.638279,52.694888
"Canada","New Brunswick","Bathurst","Bathurst",-65.7127457,47.6650746
"Russia","Kola Peninsula","Staroe lake","Bauman",33.2007333,68.148919
"Canada","British Columbia","Smithers","Bell Copper",-126.2341227,55.0016391
"Canada","Newfoundland & Labrador","Bell Island","Bell Island",-52.972078,47.6262264
"Canada","British Columbia","Benson Lake","Benson Lake Coast",-127.2495217,50.3874824
"Russia","Kemerovo Oblast","Berikul ","Berikul",87.0321423,56.216446
"USA","Alaska","Birch Creek","Birch Creek",-145.8213907,66.2596141
"Norway","Trondelag","Rugla and Naustebekken Rivers","Bjørgåsen",11.3069335,62.647552
"Norway","Norge-Suomi","Sør-Varanger","Bjørnevatn",30.0099,69.6398
"Greenland","Qaasuitsup","Uummannaq fjord","Black Angel",-51.25,71.1167
"Canada","British Columbia","Horsefly River","Black Creek",-121.100108,52.2918883
"Canada","British Columbia","Vancouver Island","Blue Grouse Mountain",-119.5393104,49.9672352
"Canada","British Columbia","Kootenay Lake","Bluebell",-117.6219,49.7137
"Sweden","Skellefte district","Lake Bruträsket","Boliden concentration plant",20.2881601,64.8765911
"Canada","Nova Scotia","Seal Harbour","Boston-Richardson",-61.599166,45.168333
"Canada","Quebec","Rouyn-Noranda","Bouchard Hebert",-79.4293664,48.1371278
"Canada","British Columbia","Howe Sound","Britannia Beach",-123.2038727,49.6232695
"Canada","New Brunswick","Bathurst","Brunswick",-66.0748328,47.2896327
"Canada","Newfoundland & Labrador","Buchans","Buchans",-56.8385577,48.8254665
"Canada","Quebec","Malartic","Canadian Malartic",-78.1832442,48.1657607
"Canada","Quebec","Massawippi River","Capelton",-71.8984378,45.3188048
"Canada","Nova Scotia","Goldenville","Caribou",-62.941611,45.057194
"Canada","Newfoundland & Labrador","Wabush Lake","Carol Lake",-66.9357687,53.0110512
"Canada","Quebec","Baie-James","Casa Berardi",-75.1079065,52.0346867
"Canada","Manitoba","Nopiming Provincial Park","Central Manitoba",-95.206,50.5416
"USA","Alaska","Chatanika River ","Circle Mining District ",-140.3,65.3
"Canada","Ontario","Cobalt","Cobalt and Silver Center region",-79.6839877,47.3902916
"Canada","British Columbia","Kimberley","Cominco's Sullivan",-115.9469837,49.6558785
"Canada","Northwest Territories","Meg, Peg and Keg Lakes","Con",-114.3760721,62.430874
"Canada","Sudbury","Copper Cliff","Copper Cliff",-81.0836817,46.4739357
"Sweden","Uppsala","Dannemora","Dannemora",17.8598723,60.2041669
"Canada","Yukon","Yukon River basin","Dawson City area",-139.4986607,64.0232863
"Canada","Ontario","Deloro","Deloro",-77.6232056,44.5096321
"Canada","Ontario","East Lake","Detour Lake",-79.713936,50.0197117
"Canada","Newfoundland & Labrador","Little Bay Arm ","Dimmel",-55.9324897,49.5967295
"Canada","Quebec","Val-d'Or","Doyon",-78.6390077,48.2838025
"Russia","Buryat Republic","Zakamensk","Dzhida",106.1455789,50.6814127
"Canada","Ontario","Sudbury","Falconbridge",-80.7956887,46.5765757
"Sweden","Dalarna","Falun","Falu",15.6126743,60.5986686
"Norway","Evje","River Otra","Flat Nickel",7.8613803,58.6005788
"Canada","Manitoba","Flin Flon","Flin Flon",-101.9016437,54.7793991
"USA","Alaska","Fortymile River","Fortymile River",-141.7544097,64.2426303
"Sweden","Lapland","Kvikkjokk","Gállok/Kallak",19.7,66.47
"Canada","Nova Scotia","Gays River","Gays River",-63.3434667,45.0320218
"Canada","Northwest Territories","Yellowknife","Giant",-114.3602867,62.4981407
"Canada","Nova Scotia","Goldenville","Goldenville",-62.0078687,45.0875508
"Canada","Nova Scotia","Dartmouth","Goldenville",-62.0078687,45.0875508
"USA","Alaska","Fairbanks","Goldstream Valley",-147.9879396,64.9300968
"Canada","Ontario","Kelly Lake, Laurentian and Wahnapitae Hydro Dam","Greater Sudbury Region",-81.0995537,46.4477738
"Greenland","Qaasuitsup","Agfardlikavsa Fjord","Greenex A/S",-52.8661734,70.9619001
"USA","Alaska","Admiralty Island","Greens Creek",-134.63472,58.08416
"Canada","Manitoba","Beresford Lake","Gunnar",-95.296,50.5137
"Canada","New Brunswick","Miramichi River","Heath Steele",-66.0746731,47.2903148
"Canada","British Columbia","Highland Valley district","Highland Valley Copper",-121.0448943,50.4861866
"Finland","Northern Ostrobothnia","Kalajoki River","Hitura",25.0117213,63.837498
"Canada","Nova Scotia","Golboro","Isaac's Harbour",-61.6446547,45.1985978
"Canada","British Columbia","Vancouver Island","Island Copper",-127.4834817,50.5949464
"Greenland","Arsuk Fjord","Ivittuut","Ivittuut",-48.1760627,61.2065239
"Canada","Quebec","Chibougamau region","Joe Mann",74.73,49.92
"Canada","Ontario","Sudbury","Junction Creek",-81.0283317,46.4694147
"Canada","Ontario","Timmins","KamKotia",-81.6035127,48.5956485
"Russia","Karelia","NS","Karelsky Okatysh",32.88049942,63.93035042
"Sweden","Norrbotten","Pajala","Kaunisvaara",23.3398463,67.414202
"Russia","Kemerovo Oblast","Ursk and Komsomolsk","Kemerovo",85.802408,55.4041922
"Canada","British Columbia","Omineca Mountains","Kemess",-126.7541167,57.001204
"Canada","Yukon","Christal, Moose, and Haldane Creek","Keno Hill District",-135.3288656,63.9265206
"USA","Alaska","Juneau","Kensington",-135.0636794,58.8491308
"Russia","Tuva Republic","Khovu-Aksy","Khovu-Aksy",93.6578,51.11747
"Canada","Ontario","Kidd Creek","Kidd Creek",-81.3932428,48.691036
"Sweden","Västerbotten","Kristineberg","Kimheden",18.5723293,65.0702882
"Norway","Kola Peninsula","Regional","Kirkenes",30.0257143,69.7202908
"Sweden","Norrbotten","Kiruna","Kiruna",20.654169,67.173325
"Finland","Lapland","Kittila ","Kittila",23.9297358,67.7693992
"Norway","Agder","Knabeana-Kvina","Knaben",7.0612238,58.6624273
